CUSTOMER_SK,NO_OF_PRODUCT,DISTINCT_PRODUCT,TOTAL_REVENUE,NO_OF_VISIT,AVERAGE_PRICE,PERCENTAGE_BASKETS_WEEKEND
59608220,370,146,1480.90977,93,4.024211332,1.2796
60533913,354,172,1480.7298,22,3.707475611,4.9091
37141162,471,265,1480.46981,52,3.106174599,3.4808
60637075,541,201,1479.94994,105,2.613863115,1.2857
38884632,368,241,1478.71979,22,3.825082121,3.2727
52548469,347,166,1478.66984,52,3.995981108,2.0962
59035793,303,184,1477.98977,36,4.342186132,0.0278
29341897,408,216,1476.41987,51,3.251827339,2.7255
61827378,308,217,1474.10977,12,4.219046974,12.6667
21602710,320,186,1473.40969,17,4.17823634,17.3529
22643595,299,206,1472.84974,45,4.204636789,2.6
22610271,346,117,1472.55985,57,3.972367206,2.807
62538399,316,201,1472.39967,45,4.167640841,1.5778
40182351,333,258,1471.70985,15,4.089813943,0.7333
23318352,300,173,1470.30979,24,4.301571694,5.875
60739851,385,156,1470.22989,61,3.670958915,2.0984
51920735,360,226,1469.67981,53,3.945651062,1.9434
60920848,364,202,1468.41979,36,3.933167452,5
39423469,313,182,1467.98963,25,4.51873155,5
64611677,419,328,1467.5599,63,3.471726949,1.0635
26034751,453,294,1465.83995,38,3.131622111,6.3947
53553936,376,204,1465.60984,38,3.75446526,2.5789
22302612,392,179,1464.28995,14,3.614254319,5
58786783,442,321,1461.96989,79,2.958664944,0
34940104,458,305,1461.52992,33,3.18280269,1.4545
59618323,370,232,1461.11985,21,3.668423798,5.8095
20847879,294,205,1460.26978,11,3.968944309,19.9091
58643607,371,143,1459.58989,18,3.814800838,0
34376317,379,206,1458.31986,27,3.514759024,8.6667
39731355,410,206,1458.22992,104,3.217456818,0.8077
51927741,332,252,1457.45981,35,4.260409696,3.4
61910078,382,191,1457.06991,49,3.661518102,3.3469
22283801,325,223,1457.01974,19,4.128167042,1.8421
22172749,399,267,1457.00994,22,3.539832609,5.3182
21152997,322,212,1455.91976,16,4.148540358,0
21158986,399,214,1455.90979,62,3.576661897,1.2258
64699617,303,169,1455.83963,30,4.067421805,3.4667
39916096,413,233,1455.43973,80,3.311844078,1.2625
63889194,306,194,1454.84972,6,4.158179639,41.5
59577659,258,167,1454.16955,19,3.729053416,0
58907353,356,218,1453.79986,21,3.533661662,6.8571
20808033,296,209,1453.39965,35,4.333332405,0.6857
20789487,358,232,1453.38979,38,3.616121564,0.3158
39456646,375,232,1453.28976,34,3.553822468,3.6471
40122702,383,232,1452.85987,21,3.757389442,7.8095
21459047,344,228,1452.15979,29,4.059233949,2.4483
20691957,316,143,1451.84973,30,3.477117289,0.4333
37054827,446,225,1451.49995,70,3.233646651,1.9
53473575,342,211,1450.63966,20,3.903342309,3.15
58896150,285,125,1450.22975,26,4.349566614,5.5769
64611939,328,207,1447.54991,10,4.193557342,15.9
40118638,441,254,1444.66985,17,3.126556523,12.3529
53782952,373,219,1444.17976,13,3.05108861,4.3077
36041019,363,177,1443.23972,51,3.816013174,2.6667
51688908,319,150,1443.06962,29,4.322925215,0.6552
58645616,380,219,1442.8899,14,3.428253565,8.4286
50224363,484,282,1442.53989,80,2.900166764,1.0875
60913306,332,115,1440.89968,34,3.312357157,2.7059
37465709,305,216,1440.83967,35,4.418414328,4.5714
20745662,347,227,1439.63963,47,3.633543915,1.4468
51344878,576,287,1439.25995,246,2.490837779,0.6423
37073057,323,172,1439.22996,61,4.073956887,2.7541
64621590,281,174,1437.83966,32,4.177337168,3.1563
59803565,194,118,1437.36914,19,4.020015797,0
58640449,331,224,1437.07979,17,3.968809012,0
59654978,356,249,1436.75979,41,3.689550925,3.5122
40237193,431,267,1435.70992,28,3.502219344,2.75
22114409,284,98,1434.65969,14,4.466142018,1.5714
58989046,356,205,1434.3097,58,3.233037794,0.7931
22205330,396,161,1431.16975,79,3.317401184,0
61768114,404,271,1431.1199,35,3.175161079,4.0286
23785580,471,238,1430.99,69,2.923199544,0.7101
58892130,308,153,1430.71977,43,4.176133974,3.7442
65216085,432,196,1430.67994,28,3.167433542,0.7857
61054986,424,281,1429.55999,39,3.550212244,2.6154
21287812,295,159,1428.85978,21,4.615554943,0
39755604,292,215,1428.45966,22,4.334677229,6.2273
22282671,310,230,1428.36987,29,4.341627794,2
33415888,315,226,1428.27966,42,3.367321446,2.2143
58872891,359,218,1427.64973,22,3.810697626,2.7727
58779565,375,157,1427.4899,21,3.559062201,0
51918167,269,166,1427.17961,18,4.326425843,6.2778
26241848,298,145,1426.99986,16,4.185992929,13.6875
40048475,393,254,1425.91981,27,3.597584,2
22268511,311,175,1424.89978,34,4.166147423,2.0294
59025961,295,146,1424.43981,23,3.677697228,2.7826
61520360,349,200,1424.04992,18,3.956767026,8.2778
22189491,327,214,1423.25972,26,4.0863788,1.1923
20784435,275,211,1422.36972,11,4.523974958,14.3636
62331451,330,184,1420.30971,42,3.882988053,1.2143
34384213,357,133,1419.64993,52,3.788431176,2.9423
64011176,407,242,1419.09989,29,3.687894211,1.7586
60919676,284,188,1417.81975,17,4.471191512,6.7647
59428154,671,205,1415.11999,131,2.081740742,1.2824
64602427,405,233,1414.66988,91,3.658131134,1.044
21200702,367,218,1414.22972,35,3.430891908,2.3429
58369408,398,250,1414.00994,21,3.416184847,5.7143
60670133,417,222,1413.36999,54,3.207355048,1.0741
39832780,282,164,1412.91972,38,5.143692573,1.5
60404185,395,264,1412.84993,78,3.492707073,1.2564
59431336,429,252,1412.61981,121,2.929972336,0
36177706,417,218,1412.21982,41,3.23701159,3.7317
62366514,371,198,1411.17985,40,3.821629461,4
62445133,394,270,1410.32995,112,3.219719944,1.1964
58327891,271,157,1409.94974,20,4.174107574,1.35
58316609,366,215,1407.20983,53,3.729223611,1.5472
21156649,353,136,1406.3899,17,3.54764179,0
59427750,409,147,1406.20995,54,3.148325081,1.5
59983679,307,115,1405.97993,57,3.98674794,1.9649
39845946,342,250,1405.56986,23,3.903464541,1.4783
41535889,340,226,1404.96983,62,4.075118581,1.629
60538342,566,266,1404.49995,65,2.430541417,2.0308
60554618,274,197,1401.32971,31,4.467499234,3.0323
58414384,452,130,1401.16,18,2.820288367,0
59577674,338,134,1400.69961,43,3.226916204,1.186
21630632,347,242,1398.81986,45,3.939955845,1.8
53633998,302,192,1397.80985,28,4.311799533,2.3571
39349118,375,209,1397.20991,48,3.423799829,4.2917
61059661,315,179,1396.40984,57,4.193733446,1.5439
52626786,314,215,1395.46979,81,4.064262179,1.3086
20798338,336,190,1395.33983,27,4.104018468,1.2963
59577626,330,188,1394.58986,17,3.906645915,2.7059
37163139,328,236,1394.3998,17,3.831666207,0.4118
59980569,289,237,1393.90976,16,3.885676487,7.6875
22114137,384,250,1393.71989,198,3.511173826,0.3434
60287816,349,213,1393.33985,17,3.629372199,5.8235
22251095,310,221,1392.3798,10,4.351703896,16.7
59608204,370,267,1392.08988,103,3.584536507,1.1068
23654220,394,245,1391.97988,78,3.205201669,1.1282
61480367,477,141,1391.6,143,2.747776585,0.5524
60913112,505,201,1390.5598,37,2.704877428,2.2973
59707651,319,140,1390.44977,63,3.978039253,0.9524
58243703,390,222,1389.3399,27,3.48523108,1.7037
58342336,341,202,1388.67986,37,3.62643176,0.0811
38989214,352,199,1387.78989,43,3.717154828,1.3721
36038367,347,180,1386.65984,39,4.187798922,3.3333
64015975,397,257,1386.5799,44,3.444753562,1.25
21602722,277,146,1386.26973,32,4.467846725,1.5938
26128243,439,314,1385.66991,98,2.952329925,0.8163
22114191,417,184,1385.57984,72,3.103510977,1.6389
21153229,335,216,1385.5699,23,3.792954925,2.6087
28891485,326,227,1384.72992,44,3.670872046,0.8864
61105967,368,138,1384.25981,30,3.886513381,1.2
62348261,329,221,1384.0298,24,4.028379363,5.2083
59012628,291,177,1383.72969,17,4.19102466,15.7059
59982058,328,153,1383.35972,34,3.835999231,0.0588
58772464,301,177,1383.22975,13,3.472466294,0
61115230,355,236,1381.96989,59,3.867974193,1.5424
61764366,367,164,1380.87994,46,3.676748484,2.6087
50672204,336,214,1379.24987,32,4.039538304,2.2813
39833337,388,219,1378.79983,74,3.532540367,1.2838
62463802,276,205,1378.42966,26,4.33624904,2.6923
61770642,396,249,1377.97993,27,3.384339886,4.4444
58855247,306,211,1377.71968,36,4.269849527,2.3611
61368870,366,213,1377.46984,26,3.379754354,5.4615
59428142,397,148,1375.87,19,3.344378147,20.8947
62335013,380,214,1375.26983,40,3.631919507,1
21044154,406,238,1374.55985,44,3.20714779,1.6364
22339213,367,237,1374.47985,45,3.374762892,3.6889
21598638,360,221,1373.61979,27,3.629495266,3.7037
21476596,310,244,1372.40971,17,3.679239316,2
21607101,368,248,1372.33984,30,3.459662646,1.4
64057117,338,272,1370.61989,31,3.956327993,2.2258
62342853,369,204,1370.06988,20,3.861629123,2.3
58506014,313,209,1369.61975,13,4.12405375,3.5385
60160013,349,242,1369.28976,47,3.594643042,3.2766
61055943,503,324,1368.46993,58,2.833165837,2.0862
22284380,352,209,1368.00982,47,3.590605611,2.1915
64960662,518,126,1367.28995,80,2.662803138,0.775
34467422,482,115,1366.71001,146,2.533179916,0.6301
21475796,345,175,1365.45991,28,3.593488159,3.1071
59489151,383,188,1364.95989,64,3.289212794,2.6719
37470629,322,205,1364.66984,18,3.946276791,8.0556
58553768,385,201,1364.22989,59,3.10941512,2.3729
37156501,399,113,1363.20981,84,3.269198701,1.0357
58643587,372,185,1362.66982,35,3.10563645,0.1143
36557632,320,146,1362.35979,68,3.667355058,1.6618
21155434,270,208,1362.1797,13,4.085517763,15.6154
59564012,378,156,1361.41986,44,3.094826433,3.5682
24350417,323,220,1361.39986,12,4.020123835,2
22114712,630,189,1361.34996,126,2.1830146,1.3254
62335012,315,227,1361.29982,16,4.142009132,0.9375
36513577,352,198,1360.21978,55,3.552356057,0.4182
40180297,392,231,1359.27972,21,3.356507421,12.2381
59427912,265,99,1359.14967,12,4.373471294,3.5833
59080517,375,223,1358.98989,59,3.556861128,2.2034
23748350,444,282,1358.77989,55,2.919209707,1.7455
64682276,445,318,1358.71992,74,3.088918427,1.1216
